online,local_hour,free_sh_share,avg_eta_hours,city_area,hour,day_of_week,month,tariff_zone_abidjan,tariff_zone_lahore,tariff_zone_lima
14.0,2025-05-01 05:00:00,0.9599277276170588,0.1410945960580463,650,5,3,5,0,1,0
17.0,2025-05-07 07:00:00,0.9041572349364078,0.2229838460945331,650,7,2,5,0,1,0
382.0,2025-05-11 04:00:00,0.9783094066380756,0.2318584056876808,600,4,6,5,0,0,1
425.0,2025-05-08 20:00:00,0.3831543650503095,0.2571189430391198,400,20,3,5,1,0,0
4.0,2025-05-20 04:00:00,0.9362621670248508,0.1752425911355887,650,4,1,5,0,1,0
60.0,2025-05-16 00:00:00,0.6612426874558103,0.1860185533801874,400,0,4,5,1,0,0
705.0,2025-05-06 08:00:00,0.8339306808783943,0.3570147766959087,600,8,1,5,0,0,1
63.0,2025-05-04 06:00:00,0.4372994466637403,0.2956650410781496,400,6,6,5,1,0,0
22.0,2025-05-10 06:00:00,0.8502117678985065,0.1698764243767744,650,6,5,5,0,1,0
638.0,2025-05-20 12:00:00,0.1880539623671244,0.3391195972633143,400,12,1,5,1,0,0
53.0,2025-05-04 23:00:00,0.6696933881427546,0.2963872673434856,650,23,6,5,0,1,0
679.0,2025-05-12 19:00:00,0.7418101412045082,0.8043307603431401,600,19,0,5,0,0,1
66.0,2025-05-06 22:00:00,0.657433153317927,0.2620126866027567,650,22,1,5,0,1,0
229.0,2025-05-04 19:00:00,0.3345364280395221,0.2561969536426058,400,19,6,5,1,0,0
109.0,2025-05-20 18:00:00,0.5175779780151416,0.3111088736780269,650,18,1,5,0,1,0
117.0,2025-05-06 14:00:00,0.4974859062264351,0.2809327042967819,650,14,1,5,0,1,0
110.0,2025-05-19 19:00:00,0.5145476639265582,0.3110065127173178,650,19,0,5,0,1,0
661.0,2025-05-08 16:00:00,0.2907367082811783,0.3196710941752268,400,16,3,5,1,0,0
75.0,2025-05-04 12:00:00,0.6126601762160702,0.2733662904439428,650,12,6,5,0,1,0
497.0,2025-05-19 22:00:00,0.8864986267083947,0.2032797932921573,600,22,0,5,0,0,1
656.0,2025-05-01 12:00:00,0.746390219576642,0.3716244178395331,600,12,3,5,0,0,1
599.0,2025-05-02 23:00:00,0.939254913553474,0.1748799465100816,600,23,4,5,0,0,1
42.0,2025-05-12 05:00:00,0.8140481581266311,0.2959372839010462,400,5,0,5,1,0,0
263.0,2025-05-13 21:00:00,0.4339113592647577,0.2278352190374931,400,21,1,5,1,0,0
134.0,2025-05-19 04:00:00,0.96736665571588,0.1097944199706314,600,4,0,5,0,0,1
128.0,2025-05-03 18:00:00,0.5262268186023223,0.3494174622941746,650,18,5,5,0,1,0
25.0,2025-05-11 03:00:00,0.6147391216079042,0.201417961020303,400,3,6,5,1,0,0
100.0,2025-05-11 15:00:00,0.5207787610619469,0.2580143684925679,650,15,6,5,0,1,0
104.0,2025-05-15 23:00:00,0.6084253997568235,0.2199301914529151,400,23,3,5,1,0,0
19.0,2025-05-16 03:00:00,0.8695789223172591,0.1350807493540051,650,3,4,5,0,1,0
658.0,2025-05-13 13:00:00,0.6998608230518524,0.7155884627203055,600,13,1,5,0,0,1
112.0,2025-05-06 19:00:00,0.5547150069906341,0.3041939594117799,650,19,1,5,0,1,0
325.0,2025-05-18 14:00:00,0.2996749523397128,0.3009891946426901,400,14,6,5,1,0,0
65.0,2025-05-05 23:00:00,0.7053886387393943,0.2473432570336038,650,23,0,5,0,1,0
631.0,2025-05-03 09:00:00,0.7726224611477946,0.2995048366679103,600,9,5,5,0,0,1
330.0,2025-05-05 00:00:00,0.9641109588797352,0.2144275289380976,600,0,0,5,0,0,1
79.0,2025-05-02 22:00:00,0.6369385816841738,0.2622682596117839,650,22,4,5,0,1,0
732.0,2025-05-17 10:00:00,0.7171970775000219,0.324243264570703,600,10,5,5,0,0,1
52.0,2025-05-06 05:00:00,0.5563694774851317,0.3146660958904109,400,5,1,5,1,0,0
665.0,2025-05-17 12:00:00,0.2111086347395775,0.3284250500314747,400,12,5,5,1,0,0
50.0,2025-05-14 00:00:00,0.6588229267120076,0.2194404371432807,400,0,2,5,1,0,0
287.0,2025-05-04 11:00:00,0.3563562333177671,0.2889662759686494,400,11,6,5,1,0,0
99.0,2025-05-18 20:00:00,0.5241978783315127,0.3280698074791062,650,20,6,5,0,1,0
23.0,2025-05-16 03:00:00,0.642118118874116,0.1740884336099585,400,3,4,5,1,0,0
588.0,2025-05-03 17:00:00,0.3419869743088358,0.3047851979827449,400,17,5,5,1,0,0
765.0,2025-05-16 10:00:00,0.7999597160532234,0.568345532202758,600,10,4,5,0,0,1
15.0,2025-05-18 06:00:00,0.863998230361739,0.1964841269841269,650,6,6,5,0,1,0
478.0,2025-05-16 08:00:00,0.4016973154717074,0.3744552335281274,400,8,4,5,1,0,0
243.0,2025-05-08 05:00:00,0.981507893465867,0.0702018900343642,600,5,3,5,0,0,1
28.0,2025-05-09 04:00:00,0.629850853678283,0.2510429606625259,400,4,4,5,1,0,0
709.0,2025-05-18 00:00:00,0.9618427135432376,0.1705922172365774,600,0,6,5,0,0,1
370.0,2025-05-13 06:00:00,0.9619591045404524,0.4497534016652929,600,6,1,5,0,0,1
722.0,2025-05-07 13:00:00,0.6702639216408565,0.3350701565750794,600,13,2,5,0,0,1
72.0,2025-05-18 00:00:00,0.6064737414165104,0.2082060489143944,400,0,6,5,1,0,0
60.0,2025-05-14 23:00:00,0.7398164650640535,0.2528721311562332,650,23,2,5,0,1,0
937.0,2025-05-17 17:00:00,0.7359582399890072,0.338383744446784,600,17,5,5,0,0,1
97.0,2025-05-20 20:00:00,0.5565468102705821,0.2944670483577216,650,20,1,5,0,1,0
537.0,2025-05-19 18:00:00,0.3147900775378197,0.3269918083690813,400,18,0,5,1,0,0
490.0,2025-05-12 14:00:00,0.6143859069474064,0.4491110963844776,600,14,0,5,0,0,1
